Price,Close,High,Low,Open,Volume
Ticker,V,V,V,V,V
Date,,,,,
2019-01-02,127.73147583007812,128.51947422879013,124.54107941040257,124.92545957459753,8788000
2019-01-03,123.12842559814453,126.1554588794795,122.88817706445387,126.08819896773126,9428300
2019-01-04,128.4329833984375,129.3362929642062,125.05039670781818,125.34829355117505,11065800
2019-01-07,130.74887084960938,131.8155423845941,128.80771781069421,129.20171690540917,12928000
2019-01-08,131.4600067138672,132.79574739383136,130.652799683492,132.58433393399577,9243000
2019-01-09,133.00714111328125,134.03536582154817,132.2479707120461,132.90143439905202,9987600
2019-01-10,133.25698852539062,133.40114204487523,131.03716215902566,131.46959339116077,12514900
2019-01-11,132.67083740234375,133.1897667600587,132.0462159618255,132.3729405718454,5860100
2019-01-14,131.74830627441406,132.7380990431658,131.31586029746484,131.6425995387628,8666700
2019-01-15,131.97891235351562,132.3440836980614,129.97049928483452,131.61375567213017,7594900
2019-01-16,131.97891235351562,133.44918743854635,131.71946239485868,132.99753277444825,7258000
2019-01-17,131.9212646484375,132.5266772476096,131.2581964994702,131.62336786572143,5864900
2019-01-18,133.0936279296875,133.189730277211,131.30623277313066,132.91104226728854,10263500
2019-01-22,132.66123962402344,134.07385954344633,131.6329998927688,132.51708605608715,8102300
2019-01-23,131.6618194580078,133.5549218260933,130.83538890816763,133.35312737200445,5465800
2019-01-24,132.32484436035156,132.9206524817834,131.19091298323033,131.75787867179093,4924800
2019-01-25,133.25698852539062,134.43897113673574,132.3248514860624,133.57410867246554,9756300
2019-01-28,130.68161010742188,132.14226606468793,129.54766400403022,132.14226606468793,9857200
2019-01-29,129.73028564453125,131.35431897389117,128.87502731088273,131.25821660074095,7457700
2019-01-30,132.22877502441406,132.5170527615291,130.220347255829,130.7873276861966,8078100
2019-01-31,129.7398681640625,130.43176407734808,128.09662636737997,129.1440746077403,20095700
2019-02-01,134.67922973632812,134.87143445380195,129.98011179205338,130.10504192577912,13248300
2019-02-04,135.9765167236328,135.99574012496728,133.74707138991846,134.3332604937693,11882700
2019-02-05,136.96627807617188,137.3698814333032,136.29360581428634,136.45696803051885,8455700
2019-02-06,135.96693420410156,136.86062455712337,135.54410728574922,136.4185888975087,6146900
2019-02-07,134.698486328125,135.5537447442242,133.77596797486726,134.4582450352526,10675300
2019-02-08,134.90025329589844,134.91946203584484,133.11285804914365,133.2762203176498,5950700
2019-02-11,135.30384826660156,136.73567644998934,134.96750471762414,135.7458838681132,7600100
2019-02-12,136.4473876953125,137.22576678281115,135.7362685142707,136.2551830182171,6090000
2019-02-13,137.8888702392578,139.0516296535212,137.29306198079274,137.31228538607533,6885600
2019-02-14,137.81182861328125,138.1198664070123,137.08021131176218,137.6385454196975,6314000
2019-02-15,139.49647521972656,139.49647521972656,138.44719881854246,139.1499234637961,6536000
2019-02-19,139.04405212402344,139.467617073923,138.6397441324162,139.0247951657311,8406700
2019-02-20,139.32318115234375,139.4290723664341,138.15839248610212,138.9573871581016,5283100
2019-02-21,138.62045288085938,139.61197300067096,137.83107936246478,138.95738346822327,8573400
2019-02-22,140.42056274414062,140.8152494301469,139.02473499158685,139.02473499158685,9680800
2019-02-25,140.60348510742188,141.70089637596993,140.36282461266353,141.42173666510064,9731200
2019-02-26,141.54689025878906,141.89344200806295,139.60236376057452,139.77563229083498,7332500
2019-02-27,141.72015380859375,141.9800712566637,140.46871629385984,141.02705040624116,9731200
2019-02-28,142.58653259277344,143.26039376387482,141.7297817747677,141.758659860529,6250200
2019-03-01,143.8860626220703,144.32886959852348,142.83678664661903,143.87644149258128,7016800
2019-03-04,142.43252563476562,144.5792133153249,141.46024775354095,144.46370096854656,6979700
2019-03-05,142.42288208007812,143.7128188449021,142.3073697395719,142.47101711820616,9678600
2019-03-06,142.28810119628906,142.97158342903,141.91267143147365,142.47100551302609,8186400
2019-03-07,141.34474182128906,142.28812696987984,140.58424633381316,141.7586708751978,8761700
2019-03-08,141.84532165527344,141.97045514199007,139.10178574942034,140.006671688579,5168100
2019-03-11,145.04129028320312,145.3300858645707,142.490294473422,142.57692874120627,9361500
2019-03-12,146.06167602539062,147.41900485877076,145.23380326411822,145.35895143263974,9465100
2019-03-13,146.7740478515625,148.28538836899577,146.3601040943652,146.6104004508693,8308900
2019-03-14,148.43943786621094,148.91113787526504,146.61042339458265,146.86070510150114,9364900
2019-03-15,149.65231323242188,150.96150677768668,147.63075940750952,147.97731107210166,20162000
2019-03-18,149.1710205078125,150.56684856105912,148.6511855682227,150.09514866235762,9689400
2019-03-19,148.8148193359375,150.12401300901234,148.3816333850949,150.12401300901234,9236100
2019-03-20,148.0061798095703,149.0843339474584,147.005038779924,148.57413495801146,6391400
2019-03-21,149.9796142578125,150.82672916010213,147.5826305861208,147.59226640613264,7027100
2019-03-22,147.35162353515625,149.8641051484949,147.1398411120872,149.19989448205297,8119800
2019-03-25,147.31312561035156,148.3046458401328,145.8787835328145,146.66815713875866,7568000
2019-03-26,149.498291015625,149.7870865253219,148.0254500737955,148.0254500737955,15594400
2019-03-27,148.45863342285156,150.0373655346033,147.630760810058,149.66193578512423,12253800
2019-03-28,148.89183044433594,149.28651717390883,147.87143231519676,149.14211206641232,16902200
2019-03-29,150.35508728027344,150.45134268683657,149.14214870979347,149.91226540606957,12164400
2019-04-01,151.38510131835938,151.83754431022788,150.7016336080925,151.6450188153113,6420100
2019-04-02,151.88568115234375,152.2418540565892,150.89416088748166,151.7701687917785,6215100
2019-04-03,152.54031372070312,153.1660253746557,151.95310129781797,152.62694800717227,8209300
2019-04-04,151.75088500976562,152.76166205229376,150.6823517971647,152.6076358062654,5100200
2019-04-05,151.76051330566406,152.7039130905572,151.35620540731784,152.09744389866188,4178300
2019-04-08,151.85678100585938,151.95305108485033,150.48020994654973,151.66425553662924,5604700
2019-04-09,151.6064910888672,152.08781208004413,150.62459215401594,150.71122640712755,6364100
2019-04-10,152.6365203857422,152.84830281085436,151.63537912146344,152.08782205795293,3918600
2019-04-11,151.96267700195312,153.3488839260591,151.55836909721427,153.1659795834684,5771400
2019-04-12,153.6761932373047,153.6761932373047,151.96269137426765,152.78094308258747,6745100
2019-04-15,154.4462890625,154.48478828050446,153.24298652952584,153.85907683885856,8142800
2019-04-16,154.244140625,155.08164924607945,153.5895510431247,155.02387838113205,6021400
2019-04-17,154.4462890625,155.0527582395195,154.32114089867017,154.86021808324233,4609100
2019-04-18,154.17678833007812,155.08167440728002,153.06011977996704,154.918012296505,7859400
